MachineID,ToolIndex,NumberOfCycle,LifecycleHealth,LifecycleBand,ConditionHealth,ConditionBand,HealthGap,HealthGapState,AnomalyScore,IsAnomaly,DecisionState,EvidenceCount,DecisionConfidence,Evidence,RootCauseDrivers,Recommendation,ActualHealth
CNC-01,2,11,0.7865439057350159,HEALTHY,0.7775261998176575,HEALTHY,-0.0090177059173583,CONSISTENT,-0.0186493395643962,False,NORMAL,0,HIGH,,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Driving axle Y L2 - mean,Continue normal operation and standard condition monitoring.,0.795918367
CNC-01,2,12,0.7643219828605652,HEALTHY,0.7296919226646423,EARLY_WEAR,-0.0346300601959228,CONSISTENT,-0.0090422297610213,False,WATCH,0,LOW,Current-based condition model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Spindle L1 - mean | Current - Driving axle X L2 - kurtosis,Continue operation with enhanced monitoring for progression of tool degradation.,0.775510204
CNC-01,2,13,0.7463228702545166,EARLY_WEAR,0.6647371649742126,EARLY_WEAR,-0.0815857052803039,CONSISTENT,-0.0834599313476788,False,WATCH,0,LOW,Lifecycle model indicates early wear | Current-based condition model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Driving axle Y L3 - max,Continue operation with enhanced monitoring for progression of tool degradation.,0.755102041
CNC-01,2,14,0.7337341904640198,EARLY_WEAR,0.7898529171943665,HEALTHY,0.0561187267303466,CONSISTENT,-0.0634305105366148,False,WATCH,0,LOW,Lifecycle model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Spindle L2 - std,Continue operation with enhanced monitoring for progression of tool degradation.,0.734693878
CNC-01,2,15,0.7468791604042053,EARLY_WEAR,0.8000522255897522,HEALTHY,0.0531730651855468,CONSISTENT,-0.0521296692743236,False,WATCH,0,LOW,Lifecycle model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Spindle L1 - mean | Current - Driving axle X L2 - kurtosis,Continue operation with enhanced monitoring for progression of tool degradation.,0.714285714
CNC-01,2,16,0.7613215446472168,HEALTHY,0.6009659171104431,EARLY_WEAR,-0.1603556275367736,CONDITION_WORSE_THAN_LIFECYCLE,-0.0577323065376963,False,HIGH_RISK,1,LOW,Current-based condition model indicates early wear | Observed condition is worse than lifecycle expectation,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Driving axle Y L1 - min,Inspect the cutting tool and review machining conditions because measured condition appears worse than expected lifecycle health.,0.693877551
CNC-01,2,17,0.7192122936248779,EARLY_WEAR,0.6075893044471741,EARLY_WEAR,-0.1116229891777038,CONSISTENT,-0.0825381414685318,False,WATCH,0,LOW,Lifecycle model indicates early wear | Current-based condition model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Driving axle Y L3 - max,Continue operation with enhanced monitoring for progression of tool degradation.,0.673469388
CNC-01,2,18,0.7158700823783875,EARLY_WEAR,0.7748130559921265,HEALTHY,0.058942973613739,CONSISTENT,-0.0922988513230299,False,WATCH,0,LOW,Lifecycle model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Spindle L2 - std,Continue operation with enhanced monitoring for progression of tool degradation.,0.653061224
CNC-01,2,19,0.7081488966941833,EARLY_WEAR,0.9391418695449828,HEALTHY,0.2309929728507995,CONDITION_BETTER_THAN_LIFECYCLE,-0.0108134526252745,False,WATCH,0,LOW,Lifecycle model indicates early wear | Observed condition is healthier than lifecycle expectation,Current - Driving axle X L3 - kurtosis | Current - Driving axle Z L1 - min | Current - Driving axle X L2 - kurtosis,Continue operation with enhanced monitoring for progression of tool degradation.,0.632653061
CNC-01,2,21,0.6620115041732788,EARLY_WEAR,0.6852924823760986,EARLY_WEAR,0.0232809782028198,CONSISTENT,-0.0756010588387142,False,WATCH,0,LOW,Lifecycle model indicates early wear | Current-based condition model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Driving axle Y L3 - max,Continue operation with enhanced monitoring for progression of tool degradation.,0.591836735
CNC-01,2,22,0.6819554567337036,EARLY_WEAR,0.6897923350334167,EARLY_WEAR,0.0078368782997131,CONSISTENT,-0.0807030690320779,False,WATCH,0,LOW,Lifecycle model indicates early wear | Current-based condition model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Spindle L2 - std,Continue operation with enhanced monitoring for progression of tool degradation.,0.571428571
CNC-01,2,23,0.6204345226287842,EARLY_WEAR,0.7054837942123413,EARLY_WEAR,0.0850492715835571,CONSISTENT,-0.0654388134153934,False,WATCH,0,LOW,Lifecycle model indicates early wear | Current-based condition model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Spindle L2 - std,Continue operation with enhanced monitoring for progression of tool degradation.,0.551020408
CNC-01,2,24,0.6735664010047913,EARLY_WEAR,0.9259132742881776,HEALTHY,0.2523468732833862,CONDITION_BETTER_THAN_LIFECYCLE,-0.0356516776924816,False,WATCH,0,LOW,Lifecycle model indicates early wear | Observed condition is healthier than lifecycle expectation,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Spindle L2 - std,Continue operation with enhanced monitoring for progression of tool degradation.,0.530612245
CNC-01,2,25,0.6395791172981262,EARLY_WEAR,0.6298430562019348,EARLY_WEAR,-0.0097360610961914,CONSISTENT,-0.069400247539539,False,WATCH,0,LOW,Lifecycle model indicates early wear | Current-based condition model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis | Current - Spindle L2 - std,Continue operation with enhanced monitoring for progression of tool degradation.,0.510204082
CNC-01,2,26,0.5357410907745361,EARLY_WEAR,0.5739762187004089,EARLY_WEAR,0.0382351279258728,CONSISTENT,-0.0516019486136606,False,WATCH,0,LOW,Lifecycle model indicates early wear | Current-based condition model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - mean | Current - Driving axle X L2 - kurtosis,Continue operation with enhanced monitoring for progression of tool degradation.,0.489795918
CNC-01,2,27,0.521681010723114,EARLY_WEAR,0.5630934238433838,EARLY_WEAR,0.0414124131202697,CONSISTENT,-0.066108782315967,False,WATCH,0,LOW,Lifecycle model indicates early wear | Current-based condition model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - mean | Current - Driving axle X L2 - kurtosis,Continue operation with enhanced monitoring for progression of tool degradation.,0.469387755
CNC-01,2,28,0.468262642621994,DEGRADED,0.5106487274169922,EARLY_WEAR,0.0423860847949981,CONSISTENT,-0.043801414519923,False,HIGH_RISK,1,LOW,Lifecycle model indicates significant degradation | Current-based condition model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - mean | Current - Driving axle X L2 - kurtosis,Schedule tool inspection before continued high-load production and prepare a replacement tool if degradation persists.,0.448979592
CNC-01,2,29,0.4300122559070587,DEGRADED,0.5045899152755737,EARLY_WEAR,0.074577659368515,CONSISTENT,-0.0560204629176649,False,HIGH_RISK,1,LOW,Lifecycle model indicates significant degradation | Current-based condition model indicates early wear,Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - mean | Current - Driving axle X L2 - kurtosis,Schedule tool inspection before continued high-load production and prepare a replacement tool if degradation persists.,0.428571429
CNC-01,2,30,0.3651993572711944,DEGRADED,0.5098316073417664,EARLY_WEAR,0.1446322500705719,CONSISTENT,-0.0193939287052984,False,HIGH_RISK,1,LOW,Lifecycle model indicates significant degradation | Current-based condition model indicates early wear,Current - Driving axle X L2 - mean | Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis,Schedule tool inspection before continued high-load production and prepare a replacement tool if degradation persists.,0.408163265
CNC-01,2,31,0.3357076942920685,DEGRADED,0.5131247639656067,EARLY_WEAR,0.1774170696735382,CONDITION_BETTER_THAN_LIFECYCLE,-0.0205060922316257,False,HIGH_RISK,1,LOW,Lifecycle model indicates significant degradation | Current-based condition model indicates early wear | Observed condition is healthier than lifecycle expectation,Current - Driving axle X L2 - mean | Current - Driving axle X L3 - kurtosis | Current - Driving axle X L2 - kurtosis,Schedule tool inspection before continued high-load production and prepare a replacement tool if degradation persists.,0.387755102
CNC-01,2,34,0.237768143415451,CRITICAL,0.3276054561138153,DEGRADED,0.0898373126983642,CONSISTENT,0.0038596077509364,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates significant degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L2 - mean | Current - Driving axle X L1 - mean | Current - Driving axle X L3 - kurtosis,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.326530612
CNC-01,2,34,0.2296945005655288,CRITICAL,0.2781608998775482,DEGRADED,0.0484663993120193,CONSISTENT,0.01087810851467,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates significant degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L2 - mean | Current - Driving axle X L3 - kurtosis | Current - Driving axle X L1 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.326530612
CNC-01,2,35,0.2258151024580001,CRITICAL,0.3494244813919067,DEGRADED,0.1236093789339065,CONSISTENT,-0.0051725159056628,False,CRITICAL,2,MEDIUM,Lifecycle model indicates critical remaining health | Current-based condition model indicates significant degradation,Current - Driving axle X L2 - mean | Current - Driving axle X L1 - mean | Current - Driving axle X L3 - kurtosis,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.306122449
CNC-01,2,36,0.2267376184463501,CRITICAL,0.40561643242836,DEGRADED,0.1788788139820099,CONDITION_BETTER_THAN_LIFECYCLE,-0.037313793413945,False,CRITICAL,2,MEDIUM,Lifecycle model indicates critical remaining health | Current-based condition model indicates significant degradation | Observed condition is healthier than lifecycle expectation,Current - Driving axle X L2 - mean | Current - Driving axle X L3 - kurtosis | Current - Driving axle X L1 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.285714286
CNC-01,2,37,0.1602400839328766,CRITICAL,0.139240950345993,CRITICAL,-0.0209991335868835,CONSISTENT,0.0346680694014246,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L2 - mean | Current - Driving axle X L1 - mean | Current - Driving axle X L3 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.265306122
CNC-01,2,38,0.1692181229591369,CRITICAL,0.1817379891872406,CRITICAL,0.0125198662281036,CONSISTENT,0.0445010133756725,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L2 - mean | Current - Driving axle X L1 - mean | Current - Driving axle X L3 - kurtosis,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.244897959
CNC-01,2,39,0.1497428715229034,CRITICAL,0.1675394624471664,CRITICAL,0.017796590924263,CONSISTENT,0.0287258018818883,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L1 - mean | Current - Driving axle X L2 - mean | Current - Driving axle X L3 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.224489796
CNC-01,2,40,0.1443897932767868,CRITICAL,0.1428968906402588,CRITICAL,-0.001492902636528,CONSISTENT,0.0043850332392817,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L2 - mean | Current - Driving axle X L1 - mean | Current - Driving axle X L3 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.204081633
CNC-01,2,41,0.1390545219182968,CRITICAL,0.0798701792955398,CRITICAL,-0.0591843426227569,CONSISTENT,0.0484859356931027,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L1 - mean | Current - Driving axle X L2 - mean | Current - Driving axle X L3 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.183673469
CNC-01,2,42,0.1362941414117813,CRITICAL,0.1990751326084137,CRITICAL,0.0627809911966323,CONSISTENT,0.0614487916508186,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L1 - mean | Current - Driving axle X L2 - mean | Current - Driving axle X L3 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.163265306
CNC-01,2,43,0.1454851478338241,CRITICAL,0.0337098613381385,CRITICAL,-0.1117752864956855,CONSISTENT,0.0560477918393682,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L2 - mean | Current - Driving axle X L1 - mean | Current - Driving axle X L3 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.142857143
CNC-01,2,44,0.1454851478338241,CRITICAL,0.0228408686816692,CRITICAL,-0.1226442791521549,CONSISTENT,0.0356116920830339,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L1 - mean | Current - Driving axle X L2 - mean | Current - Driving axle X L3 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.12244898
CNC-01,2,45,0.1382558494806289,CRITICAL,0.0548346303403377,CRITICAL,-0.0834212191402912,CONSISTENT,0.0534471566269073,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L2 - mean | Current - Driving axle X L1 - mean | Current - Driving axle X L3 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.102040816
CNC-01,2,46,0.1394238770008087,CRITICAL,0.1420952081680297,CRITICAL,0.002671331167221,CONSISTENT,0.0632181987082346,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L1 - mean | Current - Driving axle X L2 - mean | Current - Driving axle X L3 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.081632653
CNC-01,2,47,0.146657183766365,CRITICAL,0.0883074849843978,CRITICAL,-0.0583496987819671,CONSISTENT,0.0738889122120979,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L1 - mean | Current - Driving axle X L2 - mean | Current - Driving axle X L3 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.06122449
CNC-01,2,48,0.1416017115116119,CRITICAL,0.000333247706294,CRITICAL,-0.1412684638053178,CONSISTENT,0.0600843158027177,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L2 - mean | Current - Driving axle X L1 - mean | Current - Driving axle X L3 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.040816327
CNC-01,2,49,0.1271821707487106,CRITICAL,0.1376575529575348,CRITICAL,0.0104753822088241,CONSISTENT,0.055070111515178,True,CRITICAL,3,HIGH,Lifecycle model indicates critical remaining health | Current-based condition model indicates critical degradation | Electrical-current behaviour is anomalous,Current - Driving axle X L1 - mean | Current - Driving axle X L2 - mean | Current - Driving axle X L3 - mean,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.020408163
CNC-01,2,50,0.372126042842865,DEGRADED,0.4765400886535644,DEGRADED,0.1044140458106994,CONSISTENT,0.043102852633166,True,CRITICAL,3,HIGH,Lifecycle model indicates significant degradation | Current-based condition model indicates significant degradation | Electrical-current behaviour is anomalous,Current - Spindle L1 - mean | Current - Driving axle X L2 - mean | Current - Driving axle X L2 - std,Hold the tool for inspection before further machining and prepare tool replacement. Review machine-current behaviour and the identified degradation drivers.,0.0
CNC-01,11,1,0.7204151749610901,EARLY_WEAR,0.726752519607544,EARLY_WEAR,0.0063373446464538,CONSISTENT,-0.0518503576488888,False,WATCH,0,LOW,Lifecycle model indicates early wear | Current-based condition model indicates early wear,RDOC | Current - Driving axle Y L1 - min | Current - Driving axle X L3 - kurtosis,Continue operation with enhanced monitoring for progression of tool degradation.,0.0
CNC-01,102,1,0.953205943107605,HEALTHY,0.7859368920326233,HEALTHY,-0.1672690510749817,CONDITION_WORSE_THAN_LIFECYCLE,-0.032130721914393,False,HIGH_RISK,1,LOW,Observed condition is worse than lifecycle expectation,HardnessMean | Current - Spindle L1 - mean | RDOC,Inspect the cutting tool and review machining conditions because measured condition appears worse than expected lifecycle health.,1.0
CNC-01,102,2,0.9556654691696168,HEALTHY,0.8102760910987854,HEALTHY,-0.1453893780708313,CONSISTENT,-0.0641878312450262,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Driving axle Y L2 - min,Continue normal operation and standard condition monitoring.,0.988095238
CNC-01,102,3,0.9536774754524232,HEALTHY,0.8250569701194763,HEALTHY,-0.1286205053329467,CONSISTENT,-0.0251712398840185,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Driving axle X L2 - kurtosis,Continue normal operation and standard condition monitoring.,0.976190476
CNC-01,102,4,0.9536774754524232,HEALTHY,0.8530505895614624,HEALTHY,-0.1006268858909607,CONSISTENT,-0.0067216591024524,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Driving axle Y L1 - min,Continue normal operation and standard condition monitoring.,0.964285714
CNC-01,102,6,0.9494289755821228,HEALTHY,0.8305544257164001,HEALTHY,-0.1188745498657226,CONSISTENT,-0.0634466303677352,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Spindle L3 - skew,Continue normal operation and standard condition monitoring.,0.94047619
CNC-01,102,7,0.9248117804527284,HEALTHY,0.8173770904541016,HEALTHY,-0.1074346899986267,CONSISTENT,0.0266426115236507,True,WATCH,1,LOW,Electrical-current behaviour is anomalous,HardnessMean | RDOC | Current - Driving axle Y L2 - max,Increase condition monitoring and review electrical-current trends at the next scheduled inspection.,0.928571429
CNC-01,102,8,0.9193296432495116,HEALTHY,0.7098861336708069,EARLY_WEAR,-0.2094435095787048,CONDITION_WORSE_THAN_LIFECYCLE,-0.0107998669787521,False,HIGH_RISK,1,LOW,Current-based condition model indicates early wear | Observed condition is worse than lifecycle expectation,HardnessMean | Current - Spindle L1 - mean | RDOC,Inspect the cutting tool and review machining conditions because measured condition appears worse than expected lifecycle health.,0.916666667
CNC-01,102,9,0.9037874937057496,HEALTHY,0.6750675439834595,EARLY_WEAR,-0.22871994972229,CONDITION_WORSE_THAN_LIFECYCLE,-0.047437234094479,False,HIGH_RISK,1,LOW,Current-based condition model indicates early wear | Observed condition is worse than lifecycle expectation,HardnessMean | RDOC | Current - Driving axle Y L1 - min,Inspect the cutting tool and review machining conditions because measured condition appears worse than expected lifecycle health.,0.904761905
CNC-01,102,10,0.9037593603134156,HEALTHY,0.7680744528770447,HEALTHY,-0.1356849074363708,CONSISTENT,-0.0318230325624546,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Driving axle Y L1 - min,Continue normal operation and standard condition monitoring.,0.892857143
CNC-01,102,11,0.8809072971343994,HEALTHY,0.7747263312339783,HEALTHY,-0.1061809659004211,CONSISTENT,-0.0659462469436708,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Driving axle Y L1 - min,Continue normal operation and standard condition monitoring.,0.880952381
CNC-01,102,12,0.8625818490982056,HEALTHY,0.7204692959785461,EARLY_WEAR,-0.1421125531196594,CONSISTENT,-0.0598178048140167,False,WATCH,0,LOW,Current-based condition model indicates early wear,HardnessMean | RDOC | Current - Driving axle Y L2 - min,Continue operation with enhanced monitoring for progression of tool degradation.,0.869047619
CNC-01,102,13,0.8647838830947876,HEALTHY,0.7589594721794128,HEALTHY,-0.1058244109153747,CONSISTENT,-0.0163021073826223,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Driving axle Y L1 - min,Continue normal operation and standard condition monitoring.,0.857142857
CNC-01,102,14,0.8530040979385376,HEALTHY,0.8246231079101562,HEALTHY,-0.0283809900283813,CONSISTENT,0.0012111574247334,True,WATCH,1,LOW,Electrical-current behaviour is anomalous,HardnessMean | RDOC | Current - Driving axle Y L2 - min,Increase condition monitoring and review electrical-current trends at the next scheduled inspection.,0.845238095
CNC-01,102,15,0.8494797348976135,HEALTHY,0.7314065098762512,EARLY_WEAR,-0.1180732250213623,CONSISTENT,-0.069293779963603,False,WATCH,0,LOW,Current-based condition model indicates early wear,HardnessMean | RDOC | Current - Spindle L1 - mean,Continue operation with enhanced monitoring for progression of tool degradation.,0.833333333
CNC-01,102,16,0.8448392748832703,HEALTHY,0.7300910949707031,EARLY_WEAR,-0.1147481799125671,CONSISTENT,-0.0571389851112237,False,WATCH,0,LOW,Current-based condition model indicates early wear,HardnessMean | RDOC | Current - Driving axle X L2 - kurtosis,Continue operation with enhanced monitoring for progression of tool degradation.,0.821428571
CNC-01,102,17,0.8340544104576111,HEALTHY,0.7928541302680969,HEALTHY,-0.0412002801895141,CONSISTENT,-0.0515338269653238,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Driving axle Y L1 - min,Continue normal operation and standard condition monitoring.,0.80952381
CNC-01,102,18,0.8263686895370483,HEALTHY,0.7764992713928223,HEALTHY,-0.049869418144226,CONSISTENT,-0.0676821884415077,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Driving axle Y L1 - min,Continue normal operation and standard condition monitoring.,0.797619048
CNC-01,102,19,0.8260369896888733,HEALTHY,0.7974463105201721,HEALTHY,-0.0285906791687011,CONSISTENT,-0.0617260703698132,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Driving axle Y L1 - min,Continue normal operation and standard condition monitoring.,0.785714286
CNC-01,102,20,0.8179288506507874,HEALTHY,0.7992794513702393,HEALTHY,-0.018649399280548,CONSISTENT,-0.0437881520953168,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Driving axle Y L1 - min,Continue normal operation and standard condition monitoring.,0.773809524
CNC-01,102,21,0.807763397693634,HEALTHY,0.838184654712677,HEALTHY,0.0304212570190429,CONSISTENT,-0.011428859237516,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Driving axle Y L1 - min,Continue normal operation and standard condition monitoring.,0.761904762
CNC-01,102,22,0.7940611243247986,HEALTHY,0.7629286050796509,HEALTHY,-0.0311325192451477,CONSISTENT,-0.0593311475295343,False,NORMAL,0,HIGH,,HardnessMean | RDOC | Current - Spindle L1 - mean,Continue normal operation and standard condition monitoring.,0.75
